pecha id,language,url
PA5DA886D,en,https://github.com/OpenPecha/PA5DA886D
P756FE7C2,de,https://github.com/OpenPecha/P756FE7C2
P716D58E1,es,https://github.com/OpenPecha/P716D58E1
PBA441487,fr,https://github.com/OpenPecha/PBA441487
P7290F770,it,https://github.com/OpenPecha/P7290F770
PDED2A142,nl,https://github.com/OpenPecha/PDED2A142
P9D6228A8,pt,https://github.com/OpenPecha/P9D6228A8
P674FDD2D,zh,https://github.com/OpenPecha/P674FDD2D
P1D81C834,bo,https://github.com/OpenPecha/P1D81C834
